GENIE_ID,UTM_Easting[m],UTM_Northing[m],Depth[m],Time[d.s],Magnitude,Scaled_E
2472079,247408,4871894.04,5960,734503.0495,3.11,-5.77
2472089,248201.92,4871852.66,6330,734503.0721,3.79,-5.19
2472099,248261.06,4872350.96,5940,734503.0822,3.49,-5.59
2472239,387158.8,4731342.59,13760,734503.2919,1.68,-5.8
2472279,340804.84,4754276.67,10960,734503.3511,1.89,-5.96
2472329,363527.63,4696487.63,9130,734503.3939,1.73,-6.21
2472349,337679.14,4772572.86,12340,734503.4011,1.59,-6.34
2472369,263138.76,4854763.72,12230,734503.4566,1.55,-6.33
2472409,247568.47,4871887.92,6450,734503.5872,2.87,-3.63
2472539,312961.74,4732196.65,12380,734503.8748,1.81,-6.2
2472609,247590.87,4872053.92,6000,734504.1162,1.93,-3.9
2472719,247725.42,4870313.53,4660,734504.4835,2.99,-5.51
2472729,387000.57,4730178.88,16050,734504.4909,2.28,-5.86
2472809,332666.14,4737913.93,9330,734504.7042,1.91,-5.94
2472859,244846.93,4868199.1,6110,734504.8433,2.92,-6.04
2472879,245947.8,4871115.67,5810,734504.9021,3.47,-4.49
2472899,385567.58,4730202.45,15080,734504.9374,1.58,-6.14
2472919,247375.55,4872306.85,5470,734504.9452,2.67,-5.32
2472939,245976.14,4871225.82,5480,734504.9494,2.72,-5.83
2472959,248255.14,4872195.46,6000,734504.9683,1.65,-6.74
2472989,247053.3,4872074.45,5960,734505.1569,2.88,-6.73
2473029,314768.62,4796217.92,12030,734505.1878,1.51,-5.85
2473039,315077.48,4796231.71,11990,734505.1994,1.55,-5.69
2473049,245705.78,4871091.6,5960,734505.2765,2.43,-5.92
2473069,386050.2,4730661,16400,734505.2914,2.09,-6.05
2473099,374022.41,4774937.95,16740,734505.4633,2.34,-5.9
2473109,362850.75,4680816.04,1000,734505.5138,1.98,-12.07
2473119,297450.26,4807574.09,3520,734505.5727,1.69,-6.16
2473289,385929.76,4732295.8,2780,734506.0722,1.75,-5.83
2473299,247221.25,4871422.86,6190,734506.0741,1.97,-3.41
2473349,365622.51,4702678.77,10490,734506.5864,2.23,-5.83
2473379,357333.74,4729549.77,7350,734506.7829,1.56,-6.19
2473449,336681.97,4781930.66,11720,734506.9336,1.5,-6.45
2473479,335125.77,4751055.06,9260,734506.9958,1.58,-6.13
2473649,364659.5,4706029.91,10400,734508.5037,1.85,-6.02
2473659,388473.01,4756813.38,16720,734508.9975,2.04,-6.26
2473669,388431.68,4756780.73,16440,734508.9995,2.04,-6.15
2473689,339364.69,4777399.88,13750,734509.3771,1.69,-6.36
2473719,314135.68,4813907.29,12810,734509.506,1.54,-5.98
2473739,386966.34,4730590.42,16040,734509.6276,2.79,-5.51
2473769,386583.33,4730707.77,15120,734509.7468,1.8,-6.37
2473789,318388.5,4781305.26,8470,734509.8056,1.55,-6.25
2473829,311688.03,4748545.73,7620,734509.9003,2.04,-5.93
2473909,348894.94,4743794.45,8380,734510.2912,3.15,-5.26
