Index,Parent,CB
2472079.0,0.0,1.0
2472089.0,2472079.0,1.0
2472099.0,2472089.0,0.0
2472239.0,2472089.0,0.0
2472279.0,2472089.0,0.0
2472329.0,2472279.0,0.0
2472349.0,2472279.0,0.0
2472369.0,2472089.0,1.0
2472409.0,2472089.0,0.0
2472539.0,2472089.0,1.0
2472609.0,2472079.0,1.0
2472719.0,2472089.0,0.0
2472729.0,2472239.0,0.0
2472809.0,2472279.0,1.0
2472859.0,2472719.0,1.0
2472879.0,2472859.0,1.0
2472899.0,2472729.0,1.0
2472919.0,2472879.0,1.0
2472939.0,2472879.0,1.0
2472959.0,2472099.0,1.0
2472989.0,2472919.0,0.0
2473029.0,2472989.0,1.0
2473039.0,2473029.0,1.0
2473049.0,2472879.0,1.0
2473069.0,2472729.0,0.0
2473099.0,2473069.0,0.0
2473109.0,2473099.0,0.0
2473119.0,2472879.0,0.0
2473289.0,2473069.0,1.0
2473299.0,2472989.0,0.0
2473349.0,2472329.0,0.0
2473379.0,2473349.0,0.0
2473449.0,2472349.0,0.0
2473479.0,2472279.0,0.0
2473649.0,2473349.0,0.0
2473659.0,2473099.0,1.0
2473669.0,2473659.0,0.0
2473689.0,2473449.0,0.0
2473719.0,2473689.0,1.0
2473739.0,2472729.0,1.0
2473769.0,2473739.0,0.0
2473789.0,2473739.0,0.0
2473829.0,2473789.0,0.0
2473909.0,2473739.0,0.0
2473929.0,2473909.0,0.0
2473939.0,2473909.0,1.0
2473959.0,2473939.0,1.0
2474129.0,2473929.0,0.0
2474139.0,2472089.0,1.0
2474149.0,2473909.0,0.0
2474169.0,2473909.0,1.0
2474329.0,2473909.0,0.0
2474369.0,2472089.0,0.0
2474389.0,2473719.0,0.0
2474459.0,2473909.0,0.0
2474469.0,2473909.0,0.0
2474489.0,2474469.0,1.0
2474499.0,2474329.0,0.0
2474649.0,2473909.0,0.0
2474749.0,2472279.0,0.0
2474769.0,2474469.0,0.0
2474839.0,2474769.0,0.0
2474859.0,2473789.0,0.0
2474979.0,2474839.0,0.0
2474989.0,2474979.0,0.0
2475069.0,2473909.0,0.0
2475099.0,2475069.0,1.0
2475129.0,2472329.0,1.0
2475149.0,2475099.0,0.0
2475189.0,2475099.0,1.0
2475199.0,2475099.0,1.0
2475209.0,2474489.0,0.0
2475229.0,2473739.0,0.0
2475399.0,2475069.0,0.0
2475419.0,2473939.0,0.0
2475469.0,2472089.0,0.0
2475709.0,2474469.0,0.0
2475749.0,2475709.0,0.0
2475779.0,2473719.0,0.0
2475799.0,2475099.0,0.0
2475809.0,2475749.0,0.0
2475909.0,2475749.0,1.0
2475919.0,2475909.0,1.0
2475999.0,2475909.0,1.0
2476029.0,2475999.0,0.0
2476099.0,2473829.0,0.0
2476329.0,2475469.0,1.0
2476379.0,2475999.0,1.0
2476409.0,2476379.0,1.0
2476419.0,2476379.0,0.0
2476449.0,2475209.0,1.0
2476499.0,2476379.0,1.0
2476509.0,2476499.0,0.0
2476599.0,2475069.0,0.0
2476819.0,2476379.0,0.0
2476849.0,2476329.0,1.0
2476889.0,2475709.0,0.0
2476969.0,2476449.0,1.0
2477019.0,2473649.0,0.0
2477039.0,2476449.0,1.0
2477139.0,2476849.0,1.0
2477239.0,2475919.0,1.0
2477249.0,2477239.0,0.0
2477329.0,2473909.0,1.0
2477379.0,2476379.0,0.0
2477489.0,2477039.0,1.0
2477529.0,2477489.0,1.0
2477689.0,2477379.0,1.0
2477789.0,2477489.0,0.0
2477859.0,2477379.0,1.0
2477879.0,2477859.0,1.0
2477919.0,2477789.0,0.0
2477959.0,2476449.0,0.0
2477969.0,2473099.0,0.0
2477989.0,2476889.0,1.0
2477999.0,2477959.0,1.0
2478089.0,2477379.0,0.0
2478129.0,2474979.0,0.0
2478149.0,2475189.0,0.0
2478179.0,2473939.0,1.0
2478219.0,2478179.0,1.0
2478229.0,2478219.0,1.0
2478289.0,2477489.0,0.0
2478539.0,2474989.0,0.0
2478609.0,2477989.0,0.0
2478649.0,2478219.0,0.0
2478769.0,2474469.0,0.0
2478839.0,2478219.0,0.0
2479109.0,2476969.0,0.0
2479419.0,2477379.0,0.0
2479569.0,2477969.0,0.0
2479739.0,2479569.0,1.0
2479779.0,2479739.0,0.0
2479849.0,2473909.0,0.0
2479899.0,2479849.0,0.0
2479929.0,2475209.0,0.0
2479939.0,2475469.0,0.0
2479999.0,2477379.0,1.0
2480009.0,2479999.0,0.0
2480019.0,2479999.0,0.0
2480039.0,2479999.0,0.0
2480089.0,2479569.0,0.0
2480109.0,2480039.0,0.0
2480119.0,2480109.0,0.0
2480179.0,2474649.0,0.0
2480259.0,2474989.0,0.0
2481099.0,2480259.0,0.0
2481159.0,2481099.0,0.0
2481199.0,2476819.0,0.0
2481299.0,2481199.0,0.0
2481329.0,2477969.0,0.0
2481349.0,2480119.0,1.0
2481399.0,2480119.0,1.0
2481419.0,2479999.0,0.0
2481429.0,2474469.0,0.0
2481489.0,2481099.0,0.0
2481669.0,2481199.0,1.0
2481679.0,2477039.0,0.0
2481689.0,2481669.0,0.0
2481889.0,2481689.0,0.0
2481909.0,2481889.0,0.0
2481949.0,2481909.0,0.0
2481969.0,2481949.0,0.0
2482039.0,2481429.0,0.0
2482109.0,2481969.0,0.0
2482189.0,2481889.0,0.0
2482249.0,2480119.0,0.0
2482269.0,2482249.0,0.0
2482299.0,2479569.0,0.0
2482309.0,2482299.0,1.0
2482329.0,2480119.0,0.0
