Event_ID,UTM_Easting[m],UTM_Northing[m],Depth[m],Time[d.s],Magnitude
78176,333792.39,4157656.98,6.5,736330.6125,0.79
78192,353022.3,4146693.52,14.94,736330.7436,0.68
78197,330646.78,4166902.93,8.04,736330.851,0.91
78258,348189.07,4162727.03,8.17,736332.0008,1.18
78259,348269.34,4161641.03,8.08,736332.0015,1.85
78283,278789.71,4135260.27,6.69,736332.6563,2.01
78284,278328.63,4134115.49,6.92,736332.6568,1.46
78289,331345.8,4131011.12,3.48,736332.7749,1.42
78362,333157.5,4135345.32,5.62,736334.8053,1.26
78407,334113.31,4133371.17,6.32,736337.0956,1.15
78417,321974.39,4157120.27,2.9,736338.4488,1.3
78473,306152.71,4143375.79,5.72,736341.858,1.38
78602,335375.9,4134221.67,5.97,736346.8968,0.6
78718,334734.07,4141186.21,6.46,736350.9754,1.1
78719,333805.49,4141398.46,5.5,736350.9772,0.74
78720,333192.82,4139701.38,5.48,736350.981,0.55
78730,333715.6,4140299.79,4.61,736351.1742,0.5
78735,290801.34,4123016.93,5.15,736351.6764,2.04
78739,341641.92,4156132.26,9.94,736351.9095,0.77
78743,341295.17,4142938.58,6.73,736352.2467,0.86
78747,309855.49,4108216.04,3.9,736352.5208,1.8
78847,304193.14,4119963.43,5.15,736356.3225,2.67
78851,363219.86,4123955.66,4.8,736356.712,1.75
78855,363975.66,4126824.81,6.15,736356.9592,0.69
78863,334429.15,4125201.57,6.21,736357.4773,1.08
79235,325242.21,4144421.84,10.73,736365.4647,1.91
79297,332922.44,4131081.08,5.32,736366.1927,1.33
79343,288084.61,4122178.24,6.87,736367.3531,1.55
79592,337134.63,4095398.28,7.33,736369.8708,0.83
79715,316150,4115484.22,5.45,736371.6286,1.28
79717,316638.39,4114258.69,7.2,736371.7194,0.95
79746,327232.69,4134382.35,6.76,736372.5011,1.43
79759,327070.91,4135580.88,6.4,736372.8242,1.36
79760,326859.21,4132039.34,4.92,736372.8249,1.28
79761,327701.38,4131653.65,5.99,736372.8316,1.59
79788,334525.9,4132187.19,6,736373.7392,0.96
79826,318574.39,4097943.35,7.29,736375.03,1.54
79836,330879.54,4144518.93,5.65,736375.9561,0.58
79845,335609.32,4137762.7,5.45,736376.918,0.29
79880,310991.01,4106163.56,6.65,736378.3375,1.49
79896,348287.83,4152318.13,3.9,736378.8574,1.33
79966,326532.49,4139431.37,6.2,736381.0982,1.69
79969,311358.54,4171630.01,7.22,736381.305,1.6
79993,330704.97,4109641.99,4.65,736382.1917,1.73
79995,331352.45,4107482.12,3.02,736382.2109,1.14
80093,347081.99,4130779.12,4.27,736386.6215,1.32
80098,353252,4169765.07,7.35,736386.9389,1.28
80129,365968.41,4135797.7,1.17,736388.227,0.91
81754,304011.49,4111957.53,5.9,736392.8082,1.53
82889,333651.79,4132858.19,5.2,736396.5207,2.65
83382,297062.45,4143267.93,7.64,736399.3215,1.29
83542,313335.78,4111071.54,6.55,736400.1788,1.52
84051,323251.13,4107228.56,4.75,736403.9799,1.64
84206,319597.44,4152826.27,2.63,736405.2173,0.55
84259,328904.98,4143063.54,7.23,736405.6928,0.81
84260,329182.25,4142141.08,6.37,736405.6943,1.28
84302,335669.32,4143355.77,3.22,736406.2053,0.58
84342,314767.75,4122271.42,6.22,736406.8074,1.3
84506,339355.83,4099425.26,6.21,736409.4114,1.82
84615,342527.2,4158684.58,10.7,736411.0301,0.88
84616,341861.92,4159068.85,9.09,736411.0359,1.02
84617,342196.34,4159857.67,8.05,736411.0362,1.32
84660,315109.28,4108741.89,5.48,736411.7344,1.64
84744,311053.05,4130391.02,6.75,736413.0347,0.84
84796,325108.02,4140696.92,5.79,736413.8771,0.56
84889,316464.97,4113334.21,7.01,736415.6532,1.49
84918,316770.67,4113138.96,7.28,736416.0591,0.82
84966,317095.29,4113515.32,7.05,736416.925,1.12
85013,316742.21,4114893.29,6.42,736417.5896,1.58
85017,316853.65,4113632.25,6.11,736417.6678,1.32
85085,354116.18,4170201.18,6.21,736418.8663,1.1
85094,338763.98,4122933.89,4.87,736418.9801,1.26
85121,303584.4,4106402.58,8.28,736419.5695,0.79
85129,316975.7,4148596.73,4.24,736419.8824,0.64
85162,299320.29,4122026.95,5.18,736420.4753,1.58
85169,358476.18,4152363.35,3.74,736420.6047,1.71
85222,303359.27,4151122.93,9.95,736421.589,1.07
85298,335281.82,4133967.34,5.32,736423.522,1.52
85395,301421.12,4122223.71,6.36,736425.4954,3.07
85514,338000.46,4109271.03,4.29,736428.8662,0.41
85553,354808.95,4165579.41,7.06,736429.895,1.61
85582,337787.28,4131519.87,9.5,736430.4578,1.91
85609,328139.88,4113279.6,4.54,736430.9631,1.32
85610,327440.67,4111429.65,4.67,736430.9655,1.46
85617,328053.15,4114036.16,4.12,736431.0194,1.04
85624,326690.06,4153500.98,5.21,736431.1813,1.44
85758,315375.81,4100459.32,6.88,736433.7674,1.42
85775,321929.25,4149226.98,5.16,736433.9941,0.5
85796,305339.62,4130976.59,5.59,736434.2966,0.83
85856,308315.03,4113556.06,3.89,736435.3744,1.55
85875,345093.06,4117320.66,3.63,736435.875,1.51
85950,315718.21,4135015.1,3.78,736437.4187,0.63
85972,318790.89,4151991.56,2.39,736437.9878,0.78
85999,321244.98,4154002.17,4.01,736438.4781,0.49
86086,333092.43,4130482.07,5.89,736440.1748,1.9
86140,305658.26,4146020.66,6.75,736441.0474,1.06
86205,324431.43,4141650.69,6.32,736442.7547,0.95
86310,358151.9,4153443.22,3.41,736445.4466,1.51
86411,313528.1,4148396.79,4.31,736446.702,0.12
86461,337123.15,4129895.23,4.59,736447.4915,1.74
86503,330275.53,4167926.25,8.59,736448.3913,1.48
86505,329426.41,4168305.49,7.37,736448.3932,1.81
86577,331640.6,4129251.05,6.49,736449.8439,1.24
86587,335854.31,4135121.12,5.06,736450.1065,0.91
86690,335222.8,4134206.15,5.56,736452.1869,1.33
86722,316624,4113720.06,7.45,736452.7481,1.33
86735,319953.23,4152760.83,1.73,736453.0114,0.5
86737,332925.4,4143282.63,5.35,736453.0417,0.28
86835,336160.36,4137913.16,5.47,736454.6887,1.06
86858,323291.33,4143028.73,6.63,736455.3414,0.94
86872,292493.25,4105689.11,6.31,736455.5298,1.64
86903,317446.71,4128106.17,7.36,736456.007,0.93
86936,344348.91,4130260.42,6.97,736456.8171,1.23
86981,342030.3,4145824.82,5.42,736457.6591,0.97
87010,325479.93,4121977.82,6.31,736458.4041,1.26
87025,309433.16,4144390.19,4.58,736458.812,0.6
87072,333563.62,4135853.05,4.67,736459.9835,0.77
87102,321925.5,4149990.7,3.81,736460.8915,0.18
87340,290730.42,4136814.69,6.86,736467.0584,0.89
87357,357563.08,4152759.29,4.56,736467.5328,1.81
87376,330640.69,4110672.33,4.83,736468.1048,0.92
87380,331035.66,4150266.42,11.78,736468.1983,1.13
87445,335871.83,4138805.37,6.49,736470.3821,1.02
87461,338048.36,4121672.56,8.66,736470.8698,1.4
87550,324803.6,4141729.67,6.71,736473.5567,0.74
87554,319958.02,4142584.69,5.56,736473.5976,0.97
87568,333217.47,4138034.88,5.04,736474.2223,1.06
87614,297995.47,4141600.71,8.34,736475.3005,1.14
87681,314239.07,4146584.21,4.82,736476.751,0.73
87799,317677.18,4115618.29,4.85,736480.8958,2.23
87843,282244.55,4134738.43,6.51,736482.8511,1.76
87846,329627.36,4145884.03,4.96,736482.8683,0.85
87917,318231.81,4151227.44,4.15,736484.3836,-0.93
87968,334750.68,4148337.32,5.17,736485.935,1.04
87986,318594.07,4147326.84,5.11,736486.1723,0.62
87999,317773.95,4151275.97,5.23,736486.4052,1.68
88091,319075.49,4151697.39,2.95,736487.9738,0.4
88147,353118.4,4146022.01,13.25,736489.2821,1.53
88160,312406.23,4137859.14,8.61,736489.6877,0.97
88282,318969.43,4143680.8,5.42,736493.962,0.15
88304,321207.61,4116257.09,4.27,736494.947,3.22
88326,320232.02,4142696.68,7.13,736495.8791,0.7
88336,329537.67,4139252.71,5.9,736496.155,0.69
88351,326569.27,4140451.52,7.81,736496.4807,1
88382,347144.71,4170653.14,8.59,736497.6619,1.53
88390,335668.68,4136096,6.13,736498.2192,2.32
88399,298447.53,4116637.41,4.44,736498.5724,1.58
88482,339133.85,4141548.34,1.21,736501.3429,1
88536,333942.79,4132178.98,6,736503.1057,0.8
88564,310328.72,4127963.92,4.97,736503.8824,0.74
88683,333806.85,4147341.21,5.49,736509.0386,0.57
88719,310039.23,4120159.08,5.59,736510.0396,1.16
88720,309377.22,4121922.01,4.1,736510.0541,0.94
88729,328777.48,4138935.8,5.32,736510.3829,1.87
88738,328973.42,4136551.43,5.04,736510.707,1.35
88749,328301.57,4138899.06,5.95,736511.2657,1.34
88774,318126.29,4124633.44,7.35,736512.1398,1.13
88791,308764.42,4132678.64,9.22,736512.964,0.97
88818,333289.19,4132188.09,5.77,736514.4286,1.19
88819,332718.58,4132432.68,4.86,736514.4292,2.06
88831,313681.36,4174852.02,9.21,736514.7896,1.51
88835,333662.33,4134512.09,4.62,736515.0352,0.94
88861,328668.49,4138537.09,5.14,736515.9391,1.58
88891,345604.74,4128314.82,8.13,736517.0549,1.23
88895,348051.43,4137317.95,11.87,736517.1308,0.85
88898,346793.9,4130766.51,9.95,736517.3837,1.16
88908,346223.28,4147357.79,5.51,736517.6194,1.38
88967,348264.21,4169343.41,8.39,736520.0908,1.28
89009,354993.48,4149236.22,6.16,736521.4639,1.84
