Index,Parent,CB
78258.0,0.0,1.0
78259.0,78258.0,0.0
78283.0,78259.0,1.0
78284.0,78283.0,0.0
78289.0,78283.0,0.0
78362.0,78289.0,0.0
78407.0,78362.0,0.0
78417.0,78407.0,0.0
78473.0,78417.0,0.0
78718.0,78362.0,0.0
78735.0,78283.0,0.0
78747.0,78735.0,0.0
78847.0,78735.0,0.0
78851.0,78847.0,0.0
78863.0,78847.0,0.0
79235.0,78847.0,0.0
79297.0,78289.0,0.0
79343.0,78735.0,0.0
79715.0,78847.0,0.0
79746.0,79297.0,1.0
79759.0,79746.0,1.0
79760.0,79759.0,1.0
79761.0,79760.0,0.0
79826.0,78847.0,0.0
79880.0,78747.0,0.0
79896.0,78259.0,0.0
79966.0,79759.0,0.0
79969.0,79966.0,0.0
79993.0,79966.0,1.0
79995.0,79993.0,0.0
80093.0,79966.0,0.0
80098.0,80093.0,0.0
81754.0,78847.0,0.0
82889.0,78407.0,0.0
83382.0,82889.0,0.0
83542.0,78747.0,0.0
84051.0,83542.0,0.0
84260.0,82889.0,0.0
84342.0,78847.0,0.0
84506.0,84051.0,0.0
84616.0,78259.0,1.0
84617.0,84616.0,0.0
84660.0,83542.0,0.0
84889.0,84660.0,1.0
84966.0,84889.0,0.0
85013.0,84966.0,1.0
85017.0,84966.0,0.0
85085.0,80098.0,0.0
85094.0,82889.0,0.0
85162.0,78847.0,0.0
85169.0,85162.0,0.0
85222.0,85162.0,0.0
85298.0,82889.0,0.0
85395.0,85162.0,0.0
85553.0,85085.0,0.0
85582.0,82889.0,0.0
85609.0,85582.0,1.0
85610.0,85609.0,1.0
85617.0,85609.0,0.0
85624.0,85582.0,0.0
85758.0,85395.0,0.0
85856.0,85395.0,0.0
85875.0,85582.0,0.0
86086.0,79297.0,0.0
86140.0,78473.0,0.0
86310.0,85169.0,0.0
86461.0,85582.0,0.0
86503.0,86461.0,1.0
86505.0,86503.0,0.0
86577.0,86086.0,1.0
86690.0,85298.0,1.0
86722.0,85017.0,0.0
86835.0,86690.0,0.0
86872.0,85395.0,0.0
86936.0,86461.0,0.0
87010.0,86086.0,0.0
87357.0,86310.0,0.0
87380.0,87357.0,0.0
87445.0,86835.0,0.0
87461.0,85094.0,0.0
87568.0,87445.0,0.0
87614.0,83382.0,0.0
87799.0,85013.0,0.0
87843.0,78283.0,0.0
87968.0,87380.0,0.0
87999.0,87968.0,0.0
88147.0,87357.0,0.0
88304.0,87799.0,0.0
88382.0,88304.0,0.0
88390.0,82889.0,0.0
88399.0,88304.0,0.0
88719.0,88304.0,0.0
88729.0,88390.0,1.0
88738.0,88729.0,1.0
88749.0,88729.0,0.0
88774.0,88304.0,0.0
88818.0,82889.0,1.0
88819.0,88818.0,0.0
88831.0,88819.0,1.0
88861.0,88729.0,0.0
88891.0,88819.0,0.0
88898.0,88891.0,0.0
88908.0,88898.0,0.0
88967.0,88382.0,0.0
89009.0,88147.0,0.0
89021.0,85222.0,0.0
89039.0,85395.0,0.0
89043.0,89039.0,0.0
89050.0,88729.0,0.0
89105.0,88304.0,0.0
89111.0,89105.0,1.0
89112.0,89111.0,1.0
89123.0,89111.0,1.0
89125.0,89123.0,1.0
89132.0,89123.0,0.0
89172.0,88819.0,0.0
89264.0,88390.0,1.0
89267.0,89264.0,1.0
89270.0,89264.0,1.0
89271.0,89264.0,1.0
89272.0,89271.0,0.0
89274.0,85395.0,1.0
89284.0,89267.0,1.0
89297.0,89284.0,1.0
89300.0,89270.0,1.0
89304.0,89300.0,1.0
89305.0,89300.0,1.0
89306.0,89305.0,1.0
89307.0,89300.0,0.0
89310.0,89300.0,1.0
89314.0,89310.0,1.0
89317.0,89310.0,0.0
89320.0,89300.0,1.0
89332.0,89306.0,0.0
89335.0,89332.0,1.0
89336.0,89272.0,1.0
89338.0,89336.0,1.0
89339.0,89336.0,1.0
89341.0,89336.0,1.0
89342.0,89339.0,1.0
89345.0,89336.0,1.0
89346.0,89300.0,1.0
89348.0,89336.0,1.0
89349.0,89346.0,1.0
89351.0,89348.0,1.0
89353.0,89336.0,1.0
89357.0,89264.0,1.0
89359.0,89357.0,1.0
89364.0,89357.0,1.0
89365.0,89364.0,1.0
89367.0,89364.0,1.0
89369.0,89364.0,1.0
89372.0,89364.0,1.0
89381.0,89339.0,0.0
89382.0,89381.0,1.0
89388.0,89364.0,1.0
89396.0,89364.0,1.0
89398.0,89348.0,1.0
89400.0,89388.0,0.0
89401.0,89400.0,1.0
89404.0,89369.0,1.0
89418.0,89336.0,1.0
89419.0,89418.0,1.0
89421.0,89364.0,1.0
89428.0,89300.0,1.0
89437.0,89336.0,1.0
89438.0,89437.0,1.0
89450.0,89437.0,1.0
89464.0,89437.0,1.0
89465.0,89421.0,0.0
89481.0,89364.0,1.0
89496.0,89364.0,1.0
89539.0,89364.0,1.0
89541.0,89336.0,1.0
89543.0,89541.0,1.0
89561.0,89450.0,1.0
89661.0,89561.0,0.0
89700.0,88304.0,1.0
89740.0,89338.0,1.0
89741.0,89740.0,1.0
89742.0,89741.0,0.0
89762.0,89310.0,0.0
89766.0,89762.0,1.0
89769.0,89741.0,0.0
89846.0,89043.0,1.0
89848.0,89846.0,0.0
89866.0,89848.0,1.0
89877.0,89437.0,1.0
89891.0,89438.0,1.0
89892.0,89891.0,1.0
89893.0,89892.0,1.0
89944.0,89893.0,0.0
89991.0,89364.0,1.0
89994.0,89465.0,0.0
90001.0,89994.0,0.0
90046.0,89866.0,0.0
90145.0,89364.0,1.0
90146.0,90145.0,0.0
90247.0,89401.0,0.0
90252.0,89364.0,0.0
90271.0,89039.0,1.0
90274.0,89364.0,0.0
90298.0,89991.0,1.0
90307.0,90252.0,1.0
90308.0,90307.0,1.0
90313.0,90308.0,0.0
90371.0,90308.0,0.0
90447.0,90247.0,0.0
90460.0,90447.0,0.0
90466.0,90308.0,0.0
90472.0,90447.0,1.0
90498.0,90313.0,0.0
90583.0,89125.0,0.0
90669.0,90583.0,0.0
90786.0,90146.0,0.0
90816.0,90583.0,0.0
90878.0,90298.0,0.0
90938.0,90583.0,0.0
91098.0,90583.0,0.0
91135.0,90298.0,1.0
91136.0,91135.0,0.0
91153.0,89401.0,1.0
91155.0,91153.0,0.0
91283.0,89364.0,0.0
91286.0,91283.0,0.0
91319.0,89364.0,1.0
91327.0,91319.0,1.0
91334.0,90583.0,0.0
91426.0,90583.0,0.0
91447.0,91426.0,0.0
91565.0,91286.0,1.0
91568.0,91565.0,0.0
91664.0,91568.0,1.0
91680.0,89496.0,0.0
91712.0,91680.0,0.0
91734.0,91680.0,0.0
91850.0,91568.0,0.0
91893.0,91136.0,0.0
91902.0,91680.0,0.0
91914.0,91850.0,1.0
91915.0,91914.0,0.0
91969.0,90583.0,0.0
92024.0,91734.0,0.0
92077.0,91283.0,0.0
92162.0,92077.0,0.0
92188.0,90583.0,0.0
92206.0,89401.0,0.0
92215.0,92188.0,0.0
92218.0,92215.0,0.0
92224.0,92188.0,0.0
92230.0,92224.0,1.0
92233.0,92230.0,0.0
92237.0,92224.0,1.0
92271.0,92162.0,0.0
92281.0,92230.0,1.0
92296.0,92230.0,0.0
92299.0,92271.0,1.0
92303.0,92077.0,1.0
92310.0,92218.0,1.0
92311.0,92310.0,1.0
