GENIE_ID,UTM_Easting[m],UTM_Northing[m],Depth[m],Time[d.s],Magnitude,Scaled_E,Cluster
1596129,256156.51,4858519.47,15130,732070.3964,1.57,-11.45,0
1596159,356559.24,4798559.59,10,732070.4309,1.84,-5.99,0
1596219,356857.7,4800397.66,2950,732070.6464,1.51,-6.45,0
1596259,344054.8,4744557.9,10590,732070.7679,1.88,-5.87,0
1596379,329151.81,4688665.88,14600,732071.1878,1.9,-5.69,0
1596459,315893.56,4790407.93,2000,732071.7627,2.49,-5.9,0
1596699,322950.31,4791520.42,2460,732074.0241,1.77,-6.55,0
1596839,328916.8,4768064.13,4000,732074.5835,2.17,-5.91,0
1596859,297938.44,4807092.58,2660,732074.6906,1.54,-5.72,0
1597049,325800.63,4794336.05,8850,732076.3701,1.88,-6.37,0
1597069,355537.18,4798559.11,210,732076.4206,1.58,-6.2,0
1597119,318082.36,4733415.72,12890,732076.5987,2.77,-5.73,0
1597329,377205.91,4720570.85,11580,732078.0773,1.69,-6.23,0
1597349,377169.63,4720838.08,11530,732078.0781,1.64,-5.89,0
1597339,377169.63,4720838.08,11490,732078.0781,1.67,-5.75,0
1597399,321686.32,4794420.82,1880,732078.269,1.66,-6.28,0
1597549,376731.6,4720190.48,12610,732079.1238,2.42,-5.84,0
1597559,377422.57,4719833.89,10530,732079.1373,1.59,-6.54,0
1597569,379072.39,4717061.33,10780,732079.1863,1.67,-5.87,0
1597649,353728.64,4807564.59,5290,732079.4357,1.63,-6.3,0
1597699,313828.21,4749087.58,4010,732079.6564,1.69,-6.33,0
1597729,360878.51,4752096.22,16610,732080.0263,2.32,-5.99,0
1597809,224712.64,4836272.05,22410,732080.2048,1.93,-6,0
1597869,310242.98,4813404.5,15840,732080.5325,1.95,-5.93,0
1597889,320926.24,4781904.81,2530,732080.6661,1.98,-6,0
1597949,362027.7,4726632.84,13760,732081.078,1.85,-5.97,0
1598109,327860.16,4715786.59,9610,732081.5838,1.91,-6.2,0
1598129,375630.14,4722809.42,7150,732081.6925,1.81,-6.45,0
1598419,327046.53,4759199,15320,732083.0395,2.27,-5.92,0
1598469,343322.13,4780685.59,8320,732083.3482,1.78,-6.21,0
1598499,355352.16,4798251.96,0,732083.5712,1.87,-5.83,0
1598549,353082.82,4764446.53,20700,732083.8772,2.07,-6.03,0
1598809,349556.9,4807578.51,0,732085.4337,1.81,-6.22,0
1598929,366198.02,4772287.39,13950,732086.1792,2.05,-6.08,0
1598939,315705.09,4791246.6,2370,732086.2944,1.82,-6.21,0
1599009,339694.28,4769602.88,6740,732086.7041,2.03,-5.71,0
1599039,321401.07,4785426.39,17370,732086.7633,2.21,-5.56,0
1599049,320380.44,4778173.98,29770,732086.7989,1.76,-6.51,0
1599089,321798.57,4785082.55,15450,732086.9473,1.57,-6.48,0
1599169,363839.94,4772445.13,19670,732087.5272,2.92,-5.51,0
1599209,329189.63,4746921.96,5700,732087.7282,1.62,-5.74,0
1599679,359968.9,4749137.33,2420,732088.57,1.71,-6.14,0
1599709,335861.71,4766415.93,10000,732088.6183,2.07,-6.07,0
1599979,347951.58,4774913.98,4000,732089.5107,1.81,-6.03,0
1600179,326800.32,4777152.05,6190,732090.3276,1.63,-6.33,0
1600199,306717.11,4847185.38,990,732090.3873,1.82,-5.42,0
1600249,371721.25,4772881.21,16800,732090.6221,2.25,-5.75,0
1600299,380455.28,4727289.82,13800,732090.9698,1.87,-5.98,0
1600309,336000.34,4716922.95,11320,732091.0118,2.01,-5.91,0
1600319,339276.17,4716924.14,11410,732091.0162,1.72,-5.99,0
1600379,358357.65,4745481.94,25970,732091.2336,1.54,-6.16,0
1600529,346791.6,4722664.78,12350,732092.3578,2.15,-5.76,0
1600559,346272.89,4760707.37,11070,732092.7273,1.78,-6.4,0
1600989,296630.6,4825229.46,45190,732094.363,1.74,-5.42,0
1601139,327719.83,4771339.06,170,732094.8965,2.12,-5.98,0
