Index,Parent,CB
1596129.0,0.0,0.0
1596159.0,1596129.0,1.0
1596219.0,1596159.0,0.0
1596259.0,1596219.0,0.0
1596379.0,1596259.0,0.0
1596459.0,1596159.0,0.0
1596699.0,1596459.0,0.0
1596839.0,1596699.0,0.0
1596859.0,1596839.0,0.0
1597049.0,1596699.0,1.0
1597069.0,1596159.0,0.0
1597119.0,1597049.0,0.0
1597329.0,1597119.0,1.0
1597349.0,1597329.0,1.0
1597339.0,1597329.0,0.0
1597399.0,1596699.0,1.0
1597549.0,1597329.0,1.0
1597559.0,1597549.0,1.0
1597569.0,1597549.0,0.0
1597649.0,1597069.0,0.0
1597699.0,1597119.0,0.0
1597729.0,1597549.0,0.0
1597809.0,1597729.0,0.0
1597869.0,1596459.0,0.0
1597889.0,1596459.0,0.0
1597949.0,1597549.0,0.0
1598109.0,1597119.0,0.0
1598129.0,1597549.0,0.0
1598419.0,1597119.0,0.0
1598469.0,1598419.0,1.0
1598499.0,1597069.0,0.0
1598549.0,1597729.0,0.0
1598809.0,1598499.0,0.0
1598929.0,1598549.0,1.0
1598939.0,1596459.0,0.0
1599009.0,1598929.0,0.0
1599039.0,1599009.0,1.0
1599049.0,1599039.0,1.0
1599089.0,1599039.0,0.0
1599169.0,1598929.0,0.0
1599209.0,1599169.0,0.0
1599679.0,1599169.0,0.0
1599709.0,1599009.0,0.0
1599979.0,1599169.0,0.0
1600179.0,1599709.0,0.0
1600199.0,1600179.0,0.0
1600249.0,1599169.0,0.0
1600299.0,1597549.0,0.0
1600309.0,1600299.0,1.0
1600319.0,1600309.0,0.0
1600379.0,1599169.0,0.0
1600529.0,1600309.0,0.0
1600559.0,1599169.0,0.0
1600989.0,1599169.0,0.0
1601139.0,1596839.0,0.0
1601289.0,1601139.0,0.0
1601449.0,1601289.0,0.0
1601459.0,1600529.0,1.0
1601479.0,1600529.0,1.0
1601489.0,1601139.0,1.0
1601509.0,1601489.0,0.0
1601539.0,1601479.0,0.0
1601589.0,1601509.0,1.0
1601629.0,1601489.0,0.0
1601709.0,1596459.0,0.0
1601739.0,1601709.0,0.0
1602099.0,1601509.0,0.0
1602109.0,1602099.0,0.0
1602239.0,1601539.0,0.0
1602349.0,1599679.0,0.0
1602469.0,1602099.0,1.0
1602549.0,1602469.0,1.0
1602559.0,1602549.0,0.0
1602689.0,1601739.0,0.0
1602699.0,1600249.0,0.0
1602769.0,1601459.0,0.0
1602869.0,1601479.0,1.0
1602889.0,1602869.0,0.0
1602899.0,1602889.0,0.0
1603249.0,1601589.0,0.0
1603269.0,1602889.0,0.0
1603299.0,1603249.0,0.0
1603479.0,1602889.0,0.0
1603519.0,1603479.0,0.0
1603549.0,1603519.0,0.0
1603659.0,1599169.0,0.0
1603759.0,1603519.0,0.0
1603779.0,1599209.0,1.0
1603789.0,1603779.0,0.0
1603849.0,1601539.0,1.0
1603879.0,1603779.0,0.0
1604099.0,1603659.0,0.0
1604289.0,1603879.0,0.0
1604379.0,1603849.0,0.0
1604689.0,1600249.0,0.0
1604739.0,1604689.0,0.0
1604759.0,1604739.0,0.0
1604779.0,1604759.0,0.0
1604889.0,1603789.0,0.0
1605099.0,1596379.0,0.0
1605239.0,1599039.0,0.0
1605589.0,1598499.0,0.0
1605599.0,1605589.0,0.0
1605689.0,1599169.0,0.0
1605739.0,1605689.0,0.0
1605829.0,1605689.0,0.0
1605859.0,1605599.0,0.0
1605919.0,1605689.0,0.0
1605929.0,1605919.0,0.0
1606119.0,1605239.0,0.0
1606219.0,1605689.0,0.0
1606249.0,1606219.0,0.0
1606389.0,1605919.0,0.0
1606439.0,1602109.0,0.0
1606479.0,1606439.0,0.0
1606619.0,1606249.0,0.0
1606629.0,1605689.0,1.0
1606639.0,1606629.0,1.0
1606649.0,1606629.0,1.0
1606659.0,1606639.0,1.0
1606699.0,1606649.0,0.0
1606749.0,1606619.0,0.0
1606789.0,1603849.0,1.0
1606809.0,1605859.0,0.0
1606949.0,1606629.0,0.0
1607009.0,1606479.0,1.0
1607029.0,1606479.0,0.0
1607099.0,1598499.0,0.0
1607179.0,1607099.0,0.0
1607199.0,1607179.0,0.0
1607209.0,1602889.0,0.0
1607229.0,1605739.0,0.0
1607319.0,1606479.0,0.0
1607339.0,1607229.0,0.0
1607639.0,1605689.0,0.0
1607719.0,1606619.0,1.0
1607739.0,1606949.0,1.0
1607749.0,1605589.0,0.0
1607889.0,1605929.0,0.0
1607899.0,1602099.0,0.0
1607929.0,1606789.0,0.0
1607999.0,1601289.0,0.0
1608019.0,1607899.0,0.0
1608099.0,1607999.0,0.0
1608269.0,1605829.0,0.0
1608339.0,1607899.0,1.0
1608439.0,1607749.0,0.0
1608459.0,1608339.0,0.0
1608479.0,1608459.0,0.0
1608549.0,1607929.0,0.0
1608569.0,1603849.0,0.0
1608779.0,1607099.0,0.0
1608899.0,1608339.0,0.0
1609019.0,1601459.0,1.0
1609029.0,1609019.0,0.0
1609109.0,1608019.0,0.0
1609189.0,1608569.0,0.0
1609219.0,1607999.0,0.0
1609239.0,1609219.0,0.0
1609329.0,1608269.0,0.0
1609439.0,1606699.0,0.0
1609639.0,1609329.0,0.0
1609649.0,1608339.0,0.0
1609669.0,1608779.0,0.0
1609739.0,1606619.0,1.0
1609749.0,1609739.0,0.0
1609959.0,1609749.0,0.0
1610129.0,1602889.0,0.0
1610269.0,1606479.0,1.0
1610329.0,1610269.0,0.0
1610369.0,1610329.0,0.0
1610529.0,1609959.0,0.0
1610589.0,1605859.0,1.0
1610609.0,1609019.0,0.0
1610669.0,1609219.0,0.0
1610909.0,1609959.0,0.0
1610929.0,1610909.0,0.0
1610959.0,1610909.0,0.0
1610989.0,1610959.0,0.0
1611249.0,1605689.0,0.0
1611369.0,1610369.0,0.0
1611379.0,1611369.0,1.0
1611479.0,1611369.0,0.0
1611519.0,1611369.0,0.0
1611819.0,1606789.0,1.0
1611869.0,1611819.0,0.0
1611939.0,1611369.0,0.0
1612119.0,1611819.0,1.0
1612129.0,1612119.0,0.0
1612149.0,1606119.0,0.0
1612309.0,1610129.0,1.0
1612379.0,1611939.0,0.0
1612399.0,1612379.0,0.0
1612459.0,1606699.0,0.0
1612549.0,1611939.0,1.0
1612569.0,1611939.0,1.0
1612579.0,1612569.0,0.0
1612619.0,1612129.0,0.0
1612659.0,1612619.0,1.0
1612669.0,1612309.0,0.0
1612729.0,1612669.0,1.0
1612799.0,1612669.0,0.0
1612809.0,1612799.0,0.0
1612849.0,1612809.0,0.0
1612969.0,1612549.0,0.0
1613049.0,1609649.0,0.0
1613089.0,1613049.0,1.0
1613119.0,1613089.0,0.0
1613369.0,1613049.0,0.0
1613569.0,1607889.0,0.0
1613589.0,1606479.0,0.0
1613639.0,1613589.0,0.0
1613919.0,1609959.0,0.0
1613979.0,1613639.0,0.0
1614249.0,1613919.0,0.0
1614269.0,1607899.0,0.0
1614289.0,1614269.0,0.0
1614539.0,1614269.0,0.0
1614589.0,1614289.0,1.0
1614619.0,1614589.0,0.0
1614629.0,1614619.0,0.0
1614659.0,1614629.0,0.0
1614689.0,1614629.0,0.0
1614799.0,1614659.0,0.0
1614829.0,1614799.0,0.0
1614839.0,1614829.0,0.0
1614849.0,1610669.0,0.0
1614879.0,1614659.0,0.0
1614959.0,1614839.0,0.0
1615059.0,1613589.0,1.0
1615109.0,1612669.0,0.0
1615119.0,1615109.0,0.0
1615149.0,1615119.0,0.0
1615179.0,1615119.0,0.0
1615189.0,1615179.0,1.0
1615199.0,1615189.0,0.0
1615299.0,1615119.0,0.0
1615319.0,1615299.0,0.0
1615439.0,1613639.0,0.0
1615559.0,1607999.0,0.0
1615619.0,1614829.0,0.0
1615769.0,1615119.0,0.0
1615809.0,1608779.0,0.0
1616029.0,1615149.0,0.0
1616259.0,1613569.0,0.0
1616379.0,1609189.0,1.0
1616389.0,1616379.0,0.0
1616399.0,1616259.0,0.0
1616659.0,1614269.0,0.0
1616809.0,1616659.0,0.0
1616959.0,1614269.0,1.0
1617119.0,1609669.0,0.0
1617389.0,1615119.0,0.0
1617549.0,1616029.0,1.0
1617559.0,1617549.0,0.0
1617579.0,1613639.0,0.0
1617659.0,1613369.0,1.0
1617869.0,1614799.0,0.0
1617919.0,1610369.0,0.0
1617949.0,1615809.0,0.0
1618029.0,1617869.0,0.0
1618089.0,1614269.0,0.0
1618119.0,1617919.0,0.0
1618169.0,1618089.0,0.0
1618249.0,1618089.0,1.0
1618279.0,1618119.0,1.0
1618289.0,1617949.0,0.0
1618399.0,1618089.0,0.0
1618439.0,1618169.0,0.0
1618449.0,1618089.0,0.0
1618489.0,1618399.0,1.0
1618509.0,1618439.0,0.0
1618519.0,1618089.0,1.0
1618539.0,1618509.0,1.0
1618559.0,1618539.0,1.0
1618569.0,1618509.0,1.0
1618579.0,1618569.0,1.0
1618589.0,1618559.0,0.0
1618619.0,1618569.0,1.0
1618639.0,1618569.0,1.0
1618649.0,1618639.0,0.0
1618679.0,1618089.0,1.0
1618709.0,1618569.0,0.0
1618779.0,1618279.0,1.0
1618799.0,1618569.0,1.0
1618819.0,1618779.0,0.0
1618929.0,1618619.0,1.0
1618949.0,1618089.0,0.0
1618969.0,1618949.0,1.0
1618999.0,1618799.0,1.0
1619019.0,1618999.0,1.0
1619029.0,1618999.0,1.0
1619039.0,1618539.0,1.0
1619049.0,1619019.0,1.0
1619059.0,1619049.0,1.0
1619099.0,1619059.0,0.0
1619129.0,1618949.0,0.0
1619159.0,1618279.0,0.0
1619189.0,1615809.0,0.0
1619209.0,1619189.0,1.0
1619279.0,1619159.0,1.0
1619289.0,1619279.0,1.0
1619309.0,1618569.0,0.0
1619339.0,1618949.0,0.0
1619349.0,1619339.0,1.0
1619469.0,1619279.0,1.0
1619479.0,1619469.0,0.0
1619509.0,1619479.0,0.0
1619589.0,1618569.0,0.0
1619639.0,1619589.0,1.0
1619729.0,1619019.0,0.0
1619829.0,1619729.0,1.0
1619929.0,1618559.0,0.0
1620009.0,1615119.0,0.0
1620079.0,1618569.0,1.0
1620099.0,1619729.0,0.0
1620209.0,1617949.0,1.0
1620349.0,1618949.0,0.0
1620359.0,1620349.0,0.0
1620399.0,1619509.0,0.0
1620469.0,1620359.0,0.0
1620789.0,1618969.0,0.0
1620839.0,1620359.0,1.0
1620869.0,1618569.0,1.0
1621379.0,1618639.0,0.0
1621489.0,1620789.0,0.0
1621509.0,1618089.0,0.0
1621519.0,1621509.0,0.0
1621659.0,1621379.0,0.0
1621699.0,1620359.0,0.0
1621789.0,1619189.0,0.0
1621929.0,1618569.0,0.0
1622009.0,1619209.0,1.0
1622019.0,1620869.0,1.0
1622039.0,1622019.0,1.0
1622049.0,1622019.0,0.0
1622059.0,1622009.0,1.0
1622069.0,1622049.0,0.0
1622079.0,1622059.0,1.0
1622089.0,1622049.0,1.0
1622109.0,1622049.0,1.0
1622129.0,1622109.0,1.0
1622139.0,1622109.0,1.0
1622159.0,1622109.0,1.0
1622169.0,1622159.0,0.0
1622309.0,1618089.0,1.0
1622319.0,1622019.0,0.0
1622359.0,1622309.0,0.0
1622379.0,1622019.0,0.0
1622389.0,1621699.0,1.0
1622489.0,1622019.0,0.0
1622519.0,1622359.0,0.0
1622639.0,1618779.0,1.0
1622649.0,1622639.0,1.0
1622659.0,1622639.0,1.0
1622679.0,1622639.0,1.0
1622699.0,1622639.0,1.0
1622709.0,1622639.0,1.0
1622739.0,1622639.0,1.0
1622749.0,1622639.0,0.0
1622769.0,1622019.0,1.0
1622819.0,1622489.0,1.0
1622829.0,1622019.0,0.0
1622839.0,1622059.0,0.0
1623029.0,1618949.0,1.0
1623089.0,1622019.0,0.0
1623099.0,1622639.0,0.0
1623139.0,1622639.0,0.0
1623149.0,1622019.0,0.0
1623189.0,1623029.0,0.0
1623309.0,1622769.0,0.0
1623409.0,1623099.0,1.0
1623439.0,1621789.0,0.0
1623579.0,1619349.0,1.0
1623609.0,1623579.0,1.0
1623629.0,1623609.0,1.0
1623639.0,1623579.0,0.0
1623649.0,1623579.0,1.0
1623689.0,1622059.0,0.0
1623729.0,1623649.0,0.0
1623749.0,1623729.0,0.0
1623869.0,1623579.0,1.0
1623909.0,1623869.0,1.0
1623919.0,1623869.0,1.0
1623929.0,1623919.0,1.0
1623939.0,1623929.0,0.0
1624069.0,1623409.0,0.0
1624209.0,1623139.0,0.0
1624229.0,1623869.0,0.0
1624299.0,1623749.0,0.0
1624479.0,1623579.0,0.0
1624589.0,1622639.0,0.0
1624719.0,1622639.0,1.0
1624889.0,1621789.0,0.0
1624989.0,1624209.0,0.0
1625109.0,1622639.0,0.0
1625119.0,1625109.0,0.0
1625409.0,1622769.0,0.0
1625629.0,1624889.0,1.0
1625639.0,1625629.0,0.0
1625789.0,1620469.0,0.0
1625799.0,1622079.0,1.0
1625809.0,1625799.0,1.0
1625839.0,1625809.0,1.0
1625859.0,1625839.0,0.0
1626059.0,1625859.0,0.0
1626129.0,1621489.0,0.0
1626259.0,1624889.0,0.0
1626399.0,1624719.0,0.0
1626429.0,1623579.0,0.0
1626439.0,1625409.0,1.0
1626449.0,1626439.0,0.0
1626479.0,1626129.0,0.0
1626529.0,1626429.0,0.0
1626549.0,1626529.0,0.0
1626609.0,1620359.0,0.0
1626709.0,1626609.0,1.0
1626879.0,1624889.0,0.0
1626939.0,1626059.0,0.0
1627339.0,1623409.0,1.0
