Index,Time[d.s],IEs_T(15)_S(17)_EvLim(20),IEs_T(15)_S(33)_EvLim(20),IEs_T(30)_S(17)_EvLim(20),IEs_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,25873.18141932777,25873.18141932777,25873.18141932777,32533.79773571464
78847,736356.3225489159,24803.819228580047,22448.825291640896,24803.819228580047,22900.41259006255
78851,736356.7119766026,27446.723270329763,27446.723270329763,27446.723270329763,23890.42124399604
78855,736356.9591998712,27446.723270329763,27446.723270329763,27446.723270329763,23890.42124399604
78863,736357.4772848444,27446.723270329763,27446.723270329763,27446.723270329763,23890.42124399604
79235,736365.4647004525,22296.42447521868,25672.33312746523,21528.27711437522,25672.33312746523
79297,736366.1926795649,27689.480391839883,27689.480391839883,18878.0903120741,27498.337077864755
79343,736367.3530752623,24146.608337615788,24146.608337615788,24206.10609496883,21933.096321174544
79592,736369.8707583396,24146.608337615788,24146.608337615788,24206.10609496883,21933.096321174544
79715,736371.6285873421,28818.118278786453,28818.118278786453,23878.01107675382,26242.12672004279
79717,736371.7193502259,28818.118278786453,28818.118278786453,23878.01107675382,26242.12672004279
79746,736372.5010638057,26370.020262906088,27067.879906042876,20411.327329505366,23983.632559770143
79759,736372.824233219,24889.983745210924,25631.29765915651,18934.255955088673,22560.24299116503
79760,736372.8249402477,23704.310313989383,24469.011570949493,17835.227814241134,21441.867637756684
79761,736372.8315747085,22505.466999388645,24460.449721340217,16707.965115730087,20302.113176579947
79788,736373.7391788458,22505.466999388645,24460.449721340217,16707.965115730087,20302.113176579947
79826,736375.0299575755,25041.11763001702,28200.868350173478,24839.912319728144,23437.268825825184
79836,736375.9561327159,25041.11763001702,28200.868350173478,24839.912319728144,23437.268825825184
79845,736376.9179841441,25041.11763001702,28200.868350173478,24839.912319728144,23437.268825825184
79880,736378.337519875,27305.23816845329,25504.234689841367,22620.37723060283,21793.340011381242
79896,736378.8573860006,25710.529367116877,23983.356584324632,25710.529367116877,20364.294421220224
79966,736381.0981808496,22862.10392338051,23349.977119015788,22862.10392338051,19728.93304886954
79969,736381.3049713935,27395.563790850694,27395.563790850694,27395.563790850694,28699.6238590017
79993,736382.1916868547,27603.589552646852,25987.64980024624,27603.589552646852,21853.220829204685
79995,736382.2109098262,23004.370989427818,24702.55788572735,23004.370989427818,19176.73945261279
80093,736386.6214556714,27297.508189977638,24688.74419134593,26844.060955002184,21476.59390636424
80098,736386.9389379278,28105.079934177385,26549.795744523097,28105.079934177385,26549.795744523097
80129,736388.2270279784,28105.079934177385,26549.795744523097,28105.079934177385,26549.795744523097
81754,736392.808184974,23064.767410010587,23698.565279824612,26822.748154890636,24976.823622922664
82889,736396.5206712282,26742.92215667392,26742.92215667392,22463.346689851245,24300.965671074602
83382,736399.3214619871,29942.044918508822,29989.620860256935,29942.044918508822,27184.928390026434
83542,736400.1788471275,28794.56936909405,29507.7242089639,24306.76621136532,24523.483303260746
84051,736403.9798852889,29184.28940919742,29257.222547023764,22663.933127153665,23813.31096433097
84206,736405.2172648703,29184.28940919742,29257.222547023764,22663.933127153665,23813.31096433097
84259,736405.6927815959,29184.28940919742,29257.222547023764,22663.933127153665,23813.31096433097
84260,736405.6943377539,28482.125422602912,30823.413105672815,25471.336117838666,26537.850947708692
84302,736406.2053082178,28482.125422602912,30823.413105672815,25471.336117838666,26537.850947708692
84342,736406.8073902237,27118.243752540624,29668.47355733332,22632.788361409293,23231.418326278002
84506,736409.4114442819,31371.330498071435,28607.602534224057,26415.741325824416,25785.891144534733
84615,736411.0301297993,31371.330498071435,28607.602534224057,26415.741325824416,25785.891144534733
84616,736411.0358808687,31371.330498071435,28607.602534224057,26415.741325824416,25785.891144534733
84617,736411.0361628748,34368.76563427246,28828.927997725023,28200.05400509984,26287.940631614994
84660,736411.7344468365,28133.92835114653,30491.577266622793,22609.517045996996,24798.422316174758
84744,736413.0346659237,28133.92835114653,30491.577266622793,22609.517045996996,24798.422316174758
84796,736413.8770996481,28133.92835114653,30491.577266622793,22609.517045996996,24798.422316174758
84889,736415.6531676596,28322.28870042914,32754.96125095225,24222.23162393663,30470.691390827746
84918,736416.0591277172,28322.28870042914,32754.96125095225,24222.23162393663,30470.691390827746
84966,736416.9249881544,28170.076135557145,30951.37262555494,23103.69015232085,30456.456438937206
85013,736417.5895696637,28196.191869188726,30437.614277033128,23114.905247767543,28693.21849906201
