Index,Time[d.s],bp_T(15)_S(17)_EvLim(20),bp_T(15)_S(33)_EvLim(20),bp_T(30)_S(17)_EvLim(20),bp_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,1.3571702559476613,1.3571702559476613,1.3571702559476613,1.343178810010056
78847,736356.3225489159,1.0902790340667405,1.234960612047161,1.0902790340667405,1.2131130779420431
78851,736356.7119766026,1.0902790340667405,1.5062236366586759,1.0902790340667405,1.173768870008789
78855,736356.9591998712,1.0902790340667405,1.3227243103652335,1.0902790340667405,2.0680689614440575
78863,736357.4772848444,1.569739091216572,1.4317400502304998,1.3678566359157522,0.9590098969472436
79235,736365.4647004525,1.3094305987032715,1.015893524919887,1.3094305987032724,1.0178776919607462
79297,736366.1926795649,1.220908182057334,1.0053113007019716,1.4639139839435438,1.1496030403321367
79343,736367.3530752623,1.0902790340667405,1.0902790340667405,1.2119846006602375,1.234960612047161
79592,736369.8707583396,1.3311708257570931,1.0902790340667405,1.3311708257570931,1.3571702559476613
79715,736371.6285873421,1.3311708257570931,1.0708631060628124,1.0902790340667405,0.8685889638065034
79717,736371.7193502259,1.3311708257570931,1.1354104102045797,1.0902790340667405,0.8685889638065034
79746,736372.5010638057,1.3953236366369532,1.2105769530404227,1.6632554626081975,1.1199571166559499
79759,736372.824233219,1.3953236366369532,1.2105769530404227,1.6632554626081975,1.1199571166559499
79760,736372.8249402477,1.3953236366369532,1.333360251457352,1.4297760721094706,1.1199571166559499
79761,736372.8315747085,1.437003800415171,1.2510540630957865,1.6784327803024217,1.0708631060628124
79788,736373.7391788458,1.6311529836741847,1.2510540630957865,1.8190344791759225,0.8773625897035388
79826,736375.0299575755,1.2527725439516875,1.3478104610790569,1.234960612047161,1.062494145329056
79836,736375.9561327159,1.4829567674745174,1.4476482730108389,1.8190344791759225,2.0790693282602466
79845,736376.9179841441,1.4829567674745174,1.2510540630957865,2.0403096465253427,1.155916871985841
79880,736378.337519875,1.3732631838837996,1.329472903785464,1.048297025283711,1.1171562235453418
