Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,4.2509728585787245,4.2509728585787245,3.9499428629147433,3.928977456658999
78847,736356.3225489159,4.797779034474055,4.796403617943967,4.496749038810074,4.505662127106355
78851,736356.7119766026,4.804338195512164,4.804338195512164,4.503308199848183,3.7682199067023334
78855,736356.9591998712,4.804338195512164,4.804338195512164,4.503308199848183,3.7682199067023334
78863,736357.4772848444,4.804338195512164,4.804338195512164,4.503308199848183,3.7682199067023334
79235,736365.4647004525,4.139753987077932,4.765611833548801,3.8219126565907384,4.46458183788482
79297,736366.1926795649,4.82019255312023,4.82019255312023,3.835311269949854,4.485823676634988
79343,736367.3530752623,4.801501091143298,4.801501091143298,4.4881012721385805,4.499115984977975
79592,736369.8707583396,4.801501091143298,4.801501091143298,4.4881012721385805,4.499115984977975
79715,736371.6285873421,4.8271734510796165,4.8271734510796165,4.498050949824104,4.520796209967863
79717,736371.7193502259,4.8271734510796165,4.8271734510796165,4.498050949824104,4.520796209967863
79746,736372.5010638057,4.824117778501272,4.826199483585024,3.8707153044286597,4.486577521825727
79759,736372.824233219,4.827175330074269,4.829240792697219,3.88477350218301,4.489957738236934
79760,736372.8249402477,4.8294804463883265,4.83153373865293,3.8951422148414747,4.492504460065668
79761,736372.8315747085,4.836136373876383,4.836880447267265,3.923827888879839,4.499850119101156
79788,736373.7391788458,4.836136373876383,4.836880447267265,3.923827888879839,4.499850119101156
79826,736375.0299575755,4.800378169905974,4.827980250071498,3.962499213446593,4.49648690618042
79836,736375.9561327159,4.800378169905974,4.827980250071498,3.962499213446593,4.49648690618042
79845,736376.9179841441,4.800378169905974,4.827980250071498,3.962499213446593,4.49648690618042
79880,736378.337519875,4.8326536322445195,4.802202305358109,4.501632388169354,4.521137215489334
79896,736378.8573860006,4.8002089587491055,4.8363782933209825,4.499178963085124,3.969999011667052
79966,736381.0981808496,4.844122996506348,4.806146282244311,4.543093000842367,4.528463378433104
79969,736381.3049713935,4.809558818610779,4.809558818610779,4.508528822946798,4.518936792689579
79993,736382.1916868547,4.838457385609589,4.8181382288723675,4.5374273899456075,4.5002943186373905
79995,736382.2109098262,4.805147744271001,4.8161801022106445,4.50411774860702,4.5001762588636725
80093,736386.6214556714,4.819321112629345,4.81431591563144,4.52185089518475,4.510119145974001
80098,736386.9389379278,4.785932560279357,4.796731176869946,4.484902564615376,4.495701181205964
